study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,study_title,experiment_alias,fastq_ftp,sample_title,reference,
PRJNA357367,SAMN06142954,SRX2430860,SRR5115488,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_104_MKF_5,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115488/SRR5115488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115488/SRR5115488_2.fastq.gz,Mt Kenya mountain bee MKF 5,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142923,SRX2430861,SRR5115489,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_131_MS_92,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115489/SRR5115489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115489/SRR5115489_2.fastq.gz,Mau savannah bee MS 92,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142928,SRX2430862,SRR5115490,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_136_MS_100,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115490/SRR5115490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115490/SRR5115490_2.fastq.gz,Mau savannah bee MS 100,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142932,SRX2430863,SRR5115491,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_120_MF_71,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115491/SRR5115491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115491/SRR5115491_2.fastq.gz,Mau mountain bee MF 71,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142938,SRX2430864,SRR5115492,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_126_MF_85,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115492/SRR5115492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115492/SRR5115492_2.fastq.gz,Mau mountain bee MF 85,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142939,SRX2430865,SRR5115493,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_127_MF_87,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115493/SRR5115493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115493/SRR5115493_2.fastq.gz,Mau mountain bee MF 87,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142946,SRX2430866,SRR5115494,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_115_MKS_58,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115494/SRR5115494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115494/SRR5115494_2.fastq.gz,Mt Kenya savannah bee MKS 58,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142959,SRX2430867,SRR5115495,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_109_MKF_108,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115495/SRR5115495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115495/SRR5115495_2.fastq.gz,Mt Kenya mountain bee MKF 108,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142940,SRX2430868,SRR5115496,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_128_MF_89,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115496/SRR5115496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115496/SRR5115496_2.fastq.gz,Mau mountain bee MF 89,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142957,SRX2430869,SRR5115497,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_107_MKF_11,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115497/SRR5115497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115497/SRR5115497_2.fastq.gz,Mt Kenya mountain bee MKF 11,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142945,SRX2430870,SRR5115498,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_114_MKS_55,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115498/SRR5115498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115498/SRR5115498_2.fastq.gz,Mt Kenya savannah bee MKS 55,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142937,SRX2430871,SRR5115499,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_125_MF_82,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115499/SRR5115499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115499/SRR5115499_2.fastq.gz,Mau mountain bee MF 82,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142958,SRX2430872,SRR5115500,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_108_MKF_13,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115500/SRR5115500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115500/SRR5115500_2.fastq.gz,Mt Kenya mountain bee MKF 13,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142931,SRX2430873,SRR5115501,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_139_MS_107,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115501/SRR5115501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115501/SRR5115501_2.fastq.gz,Mau savannah bee MS 107,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142944,SRX2430874,SRR5115502,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_113_MKS_54,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115502/SRR5115502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115502/SRR5115502_2.fastq.gz,Mt Kenya savannah bee MKS 54,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142933,SRX2430875,SRR5115503,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_121_MF_72,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115503/SRR5115503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115503/SRR5115503_2.fastq.gz,Mau mountain bee MF 72,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142948,SRX2430876,SRR5115504,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_117_MKS_67,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115504/SRR5115504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115504/SRR5115504_2.fastq.gz,Mt Kenya savannah bee MKS 67,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142956,SRX2430877,SRR5115505,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_106_MKF_7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115505/SRR5115505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115505/SRR5115505_2.fastq.gz,Mt Kenya mountain bee MKF 7,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
